,year,ave_temp,ave_temp_uncer,month,day
232,2000,9.649750000000001,0.16225,6.5,1.0
233,2001,9.785583333333333,0.13875,6.5,1.0
234,2002,9.816166666666666,0.14233333333333334,6.5,1.0
235,2003,9.75508333333333,0.19625,6.5,1.0
236,2004,9.667499999999999,0.17308333333333334,6.5,1.0
237,2005,9.892666666666669,0.13675,6.5,1.0
238,2006,9.9745,0.17933333333333334,6.5,1.0
239,2007,9.837499999999999,0.14200000000000002,6.5,1.0
240,2008,8.951416666666669,0.14325000000000002,6.5,1.0
241,2009,9.137083333333335,0.1646666666666667,6.5,1.0
242,2010,9.505583333333334,0.15508333333333332,6.5,1.0
243,2011,9.549916666666665,0.17308333333333334,6.5,1.0
244,2012,10.261083333333334,0.21550000000000002,6.5,1.0
245,2013,11.297111111111112,0.31877777777777777,5.0,1.0
